"event_id","p_home","p_draw","p_away","outcome","entropy"
"1616788840","0.421350","0.294054","0.284596","home","1.560616"
"1616788844","0.692429","0.185703","0.121868","draw","1.188293"
"1616796460","0.336780","0.308004","0.355216","away","1.582498"
"1616818656","0.645133","0.195755","0.159112","home","1.290473"
"1616818657","0.352640","0.277289","0.370071","draw","1.574138"
"1616818658","0.319938","0.267937","0.412124","away","1.562156"
"1616851695","0.287698","0.262108","0.450194","away","1.541777"
"1616851705","0.519091","0.278788","0.202121","away","1.471003"
"1616851726","0.331250","0.324625","0.344125","draw","1.584538"
"1616851735","0.380256","0.275767","0.343977","away","1.572540"
"1616851756","0.657976","0.219674","0.122350","home","1.248511"
"1616851757","0.256966","0.294230","0.448803","home","1.541802"
"1616854059","0.342777","0.345208","0.312015","draw","1.583465"
"1616854065","0.473892","0.251679","0.274429","draw","1.523430"
"1616854079","0.392621","0.314096","0.293283","home","1.573335"
"1616854083","0.793122","0.130398","0.076480","home","0.932095"
"1616854100","0.397186","0.269558","0.333255","home","1.567230"
"1616854168","0.456387","0.285075","0.258538","draw","1.537183"
"1616854169","0.327758","0.279725","0.392517","home","1.571145"
"1616854218","0.134142","0.234345","0.631513","away","1.298085"
"1616854238","0.169084","0.232187","0.598730","draw","1.365771"
"1616864343","0.180594","0.293328","0.526078","home","1.452428"
"1616864349","0.714038","0.168513","0.117449","home","1.142796"
"1616869976","0.465471","0.266530","0.267999","draw","1.531083"
"1616870010","0.267268","0.298422","0.434310","away","1.551965"
"1616870054","0.594844","0.216731","0.188425","away","1.377616"
"1616870055","0.533664","0.253456","0.212880","draw","1.460514"
"1616870056","0.381515","0.267270","0.351214","draw","1.569346"
"1616870057","0.419136","0.335309","0.245555","draw","1.551869"
"1616870058","0.555917","0.264288","0.179795","home","1.423375"
"1616870059","0.293909","0.313818","0.392273","draw","1.573507"
"1616870060","0.127720","0.214093","0.658187","away","1.252440"
"1616870061","0.442349","0.302226","0.255425","draw","1.545203"
"1616873828","0.728415","0.183832","0.087753","home","1.090256"
"1616873829","0.740052","0.170251","0.089697","home","1.068309"
"1616873854","0.336477","0.293782","0.369741","away","1.578644"
"1616873855","0.357627","0.288648","0.353725","draw","1.578305"
"1616873856","0.374034","0.278650","0.347317","away","1.574241"
"1616873857","0.232577","0.295494","0.471929","away","1.520376"
"1616873858","0.518468","0.259790","0.221743","draw","1.478377"
"1616873859","0.446693","0.278226","0.275082","draw","1.545080"
"1616873860","0.237688","0.283424","0.478888","draw","1.516926"
"1616873861","0.364705","0.292421","0.342874","away","1.578921"
"1616879344","0.421356","0.277303","0.301341","away","1.560003"
"1616879345","0.524080","0.253397","0.222523","home","1.472801"
"1616879346","0.295855","0.298577","0.405568","home","1.568538"
"1616982373","0.610347","0.232961","0.156692","home","1.343390"
"1616982460","0.217586","0.252151","0.530263","home","1.465257"
"1616982461","0.488399","0.269228","0.242373","home","1.510195"
"1616982462","0.532121","0.263321","0.204558","home","1.459562"
"1616984297","0.672163","0.206511","0.121325","away","1.224386"
"1616984299","0.508935","0.252353","0.238712","home","1.490561"
"1616984300","0.286697","0.250491","0.462812","away","1.531433"
"1616984301","0.689226","0.182880","0.127895","home","1.197785"
"1616984302","0.083183","0.133278","0.783539","away","0.961674"
"1616984303","0.396741","0.331746","0.271513","home","1.567926"
"1616984304","0.254943","0.303542","0.441515","home","1.545538"
"1616984305","0.274260","0.304257","0.421482","home","1.559533"
"1616984306","0.539076","0.270289","0.190636","draw","1.446535"
